# Experiment A — audit trail
# script: defense_figures/experiment_a_autonomous_vs_driven/make_experiment_a_figures.py
# pickle: chapter6Experiments/results/ch6_exp1_full.pkl
# reservoir_class: chapter6Experiments/run_chapter6_exp1_esp.py:Reservoir (sparse Gaussian, no SR rescaling)
# reservoir_seed: 42
# n_res: 256
# beta: 0.05
# threshold: 0.5
# density: 0.10
# sigma_w_rec: 0.05
# sigma_w_in: 0.30
# rho_W_rec: 0.2647549015
# T_renorm: 50
# delta_0: 1e-08
# n_measurements: 3165
# columns: trial,subject,class,channel,lambda1
trial,subject,class,channel,lambda1
36,18,0,8,-0.0625418928
36,18,0,16,-0.0618482781
36,18,0,24,-0.0618482591
36,18,0,33,-0.0623085796
37,18,1,0,-0.0625419097
37,18,1,8,-0.0625419147
37,18,1,16,-0.0619046007
37,18,1,24,-0.0623086296
37,18,1,33,-0.0617018654
38,18,2,0,-0.0620153333
38,18,2,8,-0.0623086575
38,18,2,16,-0.0619122460
38,18,2,24,-0.0630596840
38,18,2,33,-0.0617615679
39,19,0,0,-0.0619046816
39,19,0,8,-0.0622764031
39,19,0,16,-0.0617684521
39,19,0,24,-0.0620848510
39,19,0,33,-0.0622281326
40,19,1,0,-0.0619046385
40,19,1,8,-0.0628393280
40,19,1,16,-0.0618225664
40,19,1,24,-0.0630071074
40,19,1,33,-0.0622087201
41,19,2,0,-0.0617399195
41,19,2,8,-0.0622764463
41,19,2,16,-0.0617684505
41,19,2,24,-0.0618471334
41,19,2,33,-0.0622192105
42,20,0,0,-0.0615308364
42,20,0,8,-0.0618556366
42,20,0,16,-0.0618226827
42,20,0,24,-0.0620272315
42,20,0,33,-0.0618227011
43,20,1,0,-0.0617398591
43,20,1,8,-0.0621387994
43,20,1,16,-0.0623179310
43,20,1,24,-0.0621388311
43,20,1,33,-0.0623798761
44,20,2,0,-0.0614778740
44,20,2,8,-0.0617684581
44,20,2,16,-0.0623894298
44,20,2,24,-0.0618559265
44,20,2,33,-0.0619122213
45,21,0,0,-0.0623093948
45,21,0,8,-0.0623364790
45,21,0,16,-0.0616574853
45,21,0,24,-0.0623095318
45,21,0,33,-0.0616574893
46,21,1,0,-0.0628164316
46,21,1,8,-0.0618019310
46,21,1,16,-0.0622763924
46,21,1,24,-0.0620722767
46,21,1,33,-0.0623894852
47,21,2,0,-0.0625620948
47,21,2,8,-0.0620649483
47,21,2,16,-0.0616575354
47,21,2,24,-0.0621474161
47,21,2,33,-0.0616508366
48,22,0,0,-0.0622577512
48,22,0,8,-0.0625419296
48,22,0,16,-0.0622673000
48,22,0,24,-0.0620499346
48,22,0,33,-0.0617532539
49,22,1,0,-0.0622667858
49,22,1,8,-0.0616680646
49,22,1,16,-0.0620350127
49,22,1,24,-0.0625418370
49,22,1,33,-0.0621897294
50,22,2,0,-0.0625419230
50,22,2,8,-0.0622673217
50,22,2,16,-0.0627856332
50,22,2,24,-0.0624647995
50,22,2,33,-0.0623086070
51,23,0,0,-0.0620472518
51,23,0,8,-0.0624088229
51,23,0,16,-0.0621999482
51,23,0,24,-0.0622372474
51,23,0,33,-0.0623086712
52,23,1,0,-0.0617507817
52,23,1,8,-0.0621417367
52,23,1,16,-0.0622578083
52,23,1,24,-0.0621390765
52,23,1,33,-0.0617614508
53,23,2,0,-0.0623476472
53,23,2,8,-0.0622472776
53,23,2,16,-0.0621999521
53,23,2,24,-0.0624201832
53,23,2,33,-0.0621605003
54,24,0,0,-0.0617686851
54,24,0,8,-0.0622369358
54,24,0,16,-0.0619046535
54,24,0,24,-0.0618313009
54,24,0,33,-0.0618482491
55,24,1,0,-0.0616958179
55,24,1,8,-0.0622373037
55,24,1,16,-0.0619046881
55,24,1,24,-0.0620722445
55,24,1,33,-0.0616584587
56,24,2,0,-0.0618772128
56,24,2,8,-0.0622472448
56,24,2,16,-0.0616037723
56,24,2,24,-0.0628115752
56,24,2,33,-0.0617328731
57,25,0,0,-0.0624941620
57,25,0,8,-0.0616011506
57,25,0,16,-0.0616850789
57,25,0,24,-0.0623183076
57,25,0,33,-0.0615305448
58,25,1,0,-0.0625680335
58,25,1,8,-0.0625419121
58,25,1,16,-0.0615306384
58,25,1,24,-0.0616989521
58,25,1,33,-0.0622673569
59,25,2,0,-0.0620390197
59,25,2,8,-0.0619046952
59,25,2,16,-0.0616850972
59,25,2,24,-0.0623094069
59,25,2,33,-0.0617398445
60,27,0,0,-0.0622368877
60,27,0,8,-0.0622267071
60,27,0,16,-0.0617614323
60,27,0,24,-0.0624201995
60,27,0,33,-0.0618153898
61,27,1,0,-0.0619211392
61,27,1,8,-0.0615269364
61,27,1,16,-0.0618482658
61,27,1,24,-0.0619795532
61,27,1,33,-0.0624087765
62,27,2,0,-0.0625419246
62,27,2,8,-0.0622368486
62,27,2,16,-0.0616279610
62,27,2,24,-0.0622368981
62,27,2,33,-0.0616279492
63,28,0,0,-0.0620767091
63,28,0,8,-0.0625422161
63,28,0,16,-0.0623094240
63,28,0,24,-0.0622010267
63,28,0,33,-0.0625418909
64,28,1,0,-0.0619799542
64,28,1,8,-0.0616306561
64,28,1,16,-0.0620430945
64,28,1,24,-0.0632293847
64,28,1,33,-0.0617684122
65,28,2,0,-0.0624201199
65,28,2,8,-0.0624202685
65,28,2,16,-0.0618482296
65,28,2,24,-0.0624201841
65,28,2,33,-0.0616584975
66,29,0,0,-0.0614840172
66,29,0,8,-0.0618482696
66,29,0,16,-0.0620350281
66,29,0,24,-0.0623094430
66,29,0,33,-0.0623895116
67,29,1,0,-0.0616013591
67,29,1,8,-0.0621391690
67,29,1,16,-0.0616680926
67,29,1,24,-0.0623093680
67,29,1,33,-0.0616511017
68,29,2,0,-0.0617532580
68,29,2,8,-0.0622667802
68,29,2,16,-0.0617208299
68,29,2,24,-0.0624749024
68,29,2,33,-0.0617684457
69,30,0,0,-0.0619046440
69,30,0,8,-0.0619046354
69,30,0,16,-0.0617399662
69,30,0,24,-0.0616811650
69,30,0,33,-0.0614838024
70,30,1,0,-0.0623163017
70,30,1,8,-0.0625419415
70,30,1,16,-0.0622086712
70,30,1,24,-0.0625523130
70,30,1,33,-0.0622087375
71,30,2,0,-0.0617329565
71,30,2,8,-0.0619046084
71,30,2,16,-0.0619122395
71,30,2,24,-0.0619045952
71,30,2,33,-0.0616722699
72,32,0,0,-0.0627349086
72,32,0,8,-0.0625523351
72,32,0,16,-0.0621999512
72,32,0,24,-0.0622006476
72,32,0,33,-0.0617614013
73,32,1,0,-0.0628393638
73,32,1,8,-0.0624201283
73,32,1,16,-0.0624894756
73,32,1,24,-0.0624201513
73,32,1,33,-0.0617614264
74,32,2,0,-0.0616013873
74,32,2,8,-0.0619046429
74,32,2,16,-0.0623894416
74,32,2,24,-0.0618482039
74,32,2,33,-0.0618555923
75,33,0,0,-0.0620417234
75,33,0,8,-0.0616011442
75,33,0,16,-0.0618225448
75,33,0,24,-0.0617685914
75,33,0,33,-0.0618225489
76,33,1,0,-0.0620767265
76,33,1,8,-0.0621388284
76,33,1,16,-0.0618226637
76,33,1,24,-0.0624201988
76,33,1,33,-0.0622764832
77,33,2,0,-0.0618482750
77,33,2,8,-0.0616785764
77,33,2,16,-0.0622764191
77,33,2,24,-0.0621999351
77,33,2,33,-0.0616850657
78,34,0,0,-0.0623591585
78,34,0,8,-0.0625418212
78,34,0,16,-0.0618153781
78,34,0,24,-0.0621387714
78,34,0,33,-0.0623086548
79,34,1,0,-0.0621388479
79,34,1,8,-0.0623097840
79,34,1,16,-0.0618226284
79,34,1,24,-0.0621388635
79,34,1,33,-0.0621999009
80,34,2,0,-0.0626688991
80,34,2,8,-0.0620649916
80,34,2,16,-0.0618225857
80,34,2,24,-0.0621473592
80,34,2,33,-0.0619046603
81,35,0,0,-0.0618485515
81,35,0,8,-0.0620153254
81,35,0,16,-0.0616279655
81,35,0,24,-0.0618397328
81,35,0,33,-0.0616346010
82,35,1,0,-0.0622006546
82,35,1,8,-0.0624854918
82,35,1,16,-0.0616851548
82,35,1,24,-0.0621388773
82,35,1,33,-0.0618225504
83,35,2,0,-0.0617614258
83,35,2,8,-0.0630596982
83,35,2,16,-0.0617614240
83,35,2,24,-0.0625419064
83,35,2,33,-0.0617685103
84,36,0,0,-0.0617614199
84,36,0,8,-0.0618154007
84,36,0,16,-0.0618226613
84,36,0,24,-0.0616011693
84,36,0,33,-0.0623270609
85,36,1,0,-0.0622156556
85,36,1,8,-0.0624201713
85,36,1,16,-0.0619814011
85,36,1,24,-0.0626469942
85,36,1,33,-0.0620873700
86,36,2,0,-0.0621999958
86,36,2,8,-0.0620819975
86,36,2,16,-0.0616575272
86,36,2,24,-0.0617532479
86,36,2,33,-0.0616011028
87,37,0,0,-0.0621999964
87,37,0,8,-0.0617613874
87,37,0,16,-0.0617330094
87,37,0,24,-0.0618550643
87,37,0,33,-0.0617329354
88,37,1,0,-0.0622005534
88,37,1,8,-0.0617768999
88,37,1,16,-0.0618225365
88,37,1,24,-0.0623093988
88,37,1,33,-0.0617614950
89,37,2,0,-0.0628115422
89,37,2,8,-0.0621594707
89,37,2,16,-0.0618226387
89,37,2,24,-0.0625418900
89,37,2,33,-0.0619121865
90,38,0,0,-0.0616811683
90,38,0,8,-0.0618482733
90,38,0,16,-0.0623798893
90,38,0,24,-0.0616011504
90,38,0,33,-0.0618556017
91,38,1,0,-0.0616811450
91,38,1,8,-0.0622006989
91,38,1,16,-0.0618482676
91,38,1,24,-0.0617480795
91,38,1,33,-0.0624531735
92,38,2,0,-0.0618482917
92,38,2,8,-0.0619616304
92,38,2,16,-0.0617613996
92,38,2,24,-0.0617613999
92,38,2,33,-0.0618397225
93,39,0,0,-0.0624206025
93,39,0,8,-0.0618153915
93,39,0,16,-0.0616575981
93,39,0,24,-0.0623094911
93,39,0,33,-0.0617399175
94,39,1,0,-0.0616512015
94,39,1,8,-0.0616279416
94,39,1,16,-0.0616851300
94,39,1,24,-0.0624202026
94,39,1,33,-0.0616575595
95,39,2,0,-0.0616782957
95,39,2,8,-0.0617613682
95,39,2,16,-0.0615306200
95,39,2,24,-0.0619035929
95,39,2,33,-0.0617329275
96,41,0,0,-0.0619046281
96,41,0,8,-0.0624647761
96,41,0,16,-0.0621984942
96,41,0,24,-0.0621516976
96,41,0,33,-0.0621984765
97,41,1,0,-0.0619121876
97,41,1,8,-0.0621705281
97,41,1,16,-0.0623179018
97,41,1,24,-0.0621686615
97,41,1,33,-0.0617684183
98,41,2,0,-0.0619288165
98,41,2,8,-0.0625418789
98,41,2,16,-0.0620350061
98,41,2,24,-0.0624087546
98,41,2,33,-0.0620431556
99,42,0,0,-0.0632292814
99,42,0,8,-0.0618902726
99,42,0,16,-0.0619122763
99,42,0,24,-0.0619867164
99,42,0,33,-0.0619121383
100,42,1,0,-0.0616345239
100,42,1,8,-0.0621391254
100,42,1,16,-0.0618225753
100,42,1,24,-0.0617553103
100,42,1,33,-0.0619122268
101,42,2,0,-0.0632294305
101,42,2,8,-0.0625522966
101,42,2,16,-0.0616850944
101,42,2,24,-0.0621355277
101,42,2,33,-0.0618226303
102,43,0,0,-0.0618153331
102,43,0,8,-0.0617617360
102,43,0,16,-0.0616345256
102,43,0,24,-0.0614799545
102,43,0,33,-0.0618482340
103,43,1,0,-0.0625419149
103,43,1,8,-0.0622368873
103,43,1,16,-0.0623271328
103,43,1,24,-0.0622577356
103,43,1,33,-0.0619211104
104,43,2,0,-0.0616575958
104,43,2,8,-0.0619046616
104,43,2,16,-0.0617689369
104,43,2,24,-0.0618397018
104,43,2,33,-0.0619813923
105,44,0,0,-0.0617684832
105,44,0,8,-0.0620930373
105,44,0,16,-0.0619813694
105,44,0,24,-0.0615551792
105,44,0,33,-0.0622732536
106,44,1,0,-0.0618226130
106,44,1,8,-0.0627179926
106,44,1,16,-0.0620350259
106,44,1,24,-0.0622577333
106,44,1,33,-0.0617614200
107,44,2,0,-0.0616575266
107,44,2,8,-0.0619615923
107,44,2,16,-0.0616279874
107,44,2,24,-0.0619035842
107,44,2,33,-0.0617208622
108,45,0,0,-0.0615329243
108,45,0,8,-0.0623179169
108,45,0,16,-0.0618226335
108,45,0,24,-0.0616854296
108,45,0,33,-0.0618226650
109,45,1,0,-0.0618228938
109,45,1,8,-0.0623093684
109,45,1,16,-0.0616851142
109,45,1,24,-0.0619265642
109,45,1,33,-0.0616851475
110,45,2,0,-0.0625720883
110,45,2,8,-0.0618482599
110,45,2,16,-0.0618225769
110,45,2,24,-0.0619241519
