# Experiment A — audit trail
# script: defense_figures/experiment_a_autonomous_vs_driven/make_experiment_a_figures.py
# pickle: chapter6Experiments/results/ch6_exp1_full.pkl
# reservoir_class: chapter6Experiments/run_chapter6_exp1_esp.py:Reservoir (sparse Gaussian, no SR rescaling)
# reservoir_seed: 42
# n_res: 256
# beta: 0.05
# threshold: 0.5
# density: 0.10
# sigma_w_rec: 0.05
# sigma_w_in: 0.30
# rho_W_rec: 0.2647549015
# T_renorm: 50
# delta_0: 1e-08
# n_measurements: 3165
# columns: trial,subject,class,channel,lambda1
trial,subject,class,channel,lambda1
159,65,0,33,-0.0623086389
160,65,1,0,-0.0621388217
160,65,1,8,-0.0614860570
160,65,1,16,-0.0621999647
160,65,1,24,-0.0623515700
160,65,1,33,-0.0617614428
161,65,2,0,-0.0621388259
161,65,2,8,-0.0619045798
161,65,2,16,-0.0621999645
161,65,2,24,-0.0616879366
161,65,2,33,-0.0617358311
162,66,0,0,-0.0616203114
162,66,0,8,-0.0624007893
162,66,0,16,-0.0622086970
162,66,0,24,-0.0617532284
162,66,0,33,-0.0622086862
163,66,1,0,-0.0624202788
163,66,1,8,-0.0619287671
163,66,1,16,-0.0622087090
163,66,1,24,-0.0623094076
163,66,1,33,-0.0620256701
164,66,2,0,-0.0617614253
164,66,2,8,-0.0616077272
164,66,2,16,-0.0618225929
164,66,2,24,-0.0615469945
164,66,2,33,-0.0618225668
165,67,0,0,-0.0622978745
165,67,0,8,-0.0618397007
165,67,0,16,-0.0622763740
165,67,0,24,-0.0617642299
165,67,0,33,-0.0623798858
166,67,1,0,-0.0628253382
166,67,1,8,-0.0624201428
166,67,1,16,-0.0622764641
166,67,1,24,-0.0620387867
166,67,1,33,-0.0619122022
167,67,2,0,-0.0618154573
167,67,2,8,-0.0618482629
167,67,2,16,-0.0621053559
167,67,2,24,-0.0618556129
167,67,2,33,-0.0619122837
168,68,0,0,-0.0624936986
168,68,0,8,-0.0616814483
168,68,0,16,-0.0617329920
168,68,0,24,-0.0624299234
168,68,0,33,-0.0616508725
169,68,1,0,-0.0616281939
169,68,1,8,-0.0622369529
169,68,1,16,-0.0616076474
169,68,1,24,-0.0616281218
169,68,1,33,-0.0617398988
170,68,2,0,-0.0619796089
170,68,2,8,-0.0630071588
170,68,2,16,-0.0616508728
170,68,2,24,-0.0618316185
170,68,2,33,-0.0616784210
171,69,0,0,-0.0622693492
171,69,0,8,-0.0618154763
171,69,0,16,-0.0618226723
171,69,0,24,-0.0618556424
171,69,0,33,-0.0618226296
172,69,1,0,-0.0621388221
172,69,1,8,-0.0632123853
172,69,1,16,-0.0618226818
172,69,1,24,-0.0621389039
172,69,1,33,-0.0619122040
173,69,2,0,-0.0622006608
173,69,2,8,-0.0617329592
173,69,2,16,-0.0617614649
173,69,2,24,-0.0621171582
173,69,2,33,-0.0617613716
174,70,0,0,-0.0616578315
174,70,0,8,-0.0617329470
174,70,0,16,-0.0618226445
174,70,0,24,-0.0616879402
174,70,0,33,-0.0617684950
175,70,1,0,-0.0618556211
175,70,1,8,-0.0623474733
175,70,1,16,-0.0617684324
175,70,1,24,-0.0620650135
175,70,1,33,-0.0617685099
176,70,2,0,-0.0616011614
176,70,2,8,-0.0616037157
176,70,2,16,-0.0618226220
176,70,2,24,-0.0616811225
176,70,2,33,-0.0620351066
177,72,0,0,-0.0624895081
177,72,0,8,-0.0630597065
177,72,0,16,-0.0618225406
177,72,0,24,-0.0624298552
177,72,0,33,-0.0616851479
178,72,1,0,-0.0622405916
178,72,1,8,-0.0623474953
178,72,1,16,-0.0618225769
178,72,1,24,-0.0623093947
178,72,1,33,-0.0619121936
179,72,2,0,-0.0620335554
179,72,2,8,-0.0618397498
179,72,2,16,-0.0616850961
179,72,2,24,-0.0618306830
179,72,2,33,-0.0616851014
180,73,0,0,-0.0619693931
180,73,0,8,-0.0616853145
180,73,0,16,-0.0614776376
180,73,0,24,-0.0619046156
180,73,0,33,-0.0616102384
181,73,1,0,-0.0620391498
181,73,1,8,-0.0625419376
181,73,1,16,-0.0623894499
181,73,1,24,-0.0624201848
181,73,1,33,-0.0620632336
182,73,2,0,-0.0623187620
182,73,2,8,-0.0618485434
182,73,2,16,-0.0617535173
182,73,2,24,-0.0623094158
182,73,2,33,-0.0623270756
183,74,0,0,-0.0624201846
183,74,0,8,-0.0624300065
183,74,0,16,-0.0619122131
183,74,0,24,-0.0625420149
183,74,0,33,-0.0617399008
184,74,1,0,-0.0622008116
184,74,1,8,-0.0621388671
184,74,1,16,-0.0617614195
184,74,1,24,-0.0623098484
184,74,1,33,-0.0619122228
185,74,2,0,-0.0623094114
185,74,2,8,-0.0620626299
185,74,2,16,-0.0618226989
185,74,2,24,-0.0618902434
185,74,2,33,-0.0618226565
186,75,0,0,-0.0622006613
186,75,0,8,-0.0619799833
186,75,0,16,-0.0623798175
186,75,0,24,-0.0616986363
186,75,0,33,-0.0618482539
187,75,1,0,-0.0621052905
187,75,1,8,-0.0624201603
187,75,1,16,-0.0617614294
187,75,1,24,-0.0622405987
187,75,1,33,-0.0618225884
188,75,2,0,-0.0618482320
188,75,2,8,-0.0622406088
188,75,2,16,-0.0617398907
188,75,2,24,-0.0622406033
188,75,2,33,-0.0616103053
189,76,0,0,-0.0616786357
189,76,0,8,-0.0619799700
189,76,0,16,-0.0621053581
189,76,0,24,-0.0616783029
189,76,0,33,-0.0624291762
190,76,1,0,-0.0618153335
190,76,1,8,-0.0619795105
190,76,1,16,-0.0616281966
190,76,1,24,-0.0630596952
190,76,1,33,-0.0620350310
191,76,2,0,-0.0623353903
191,76,2,8,-0.0629014576
191,76,2,16,-0.0621056907
191,76,2,24,-0.0622192365
191,76,2,33,-0.0623798782
192,77,0,0,-0.0627084528
192,77,0,8,-0.0619046660
192,77,0,16,-0.0618397693
192,77,0,24,-0.0621550891
192,77,0,33,-0.0625418715
193,77,1,0,-0.0620263465
193,77,1,8,-0.0616986108
193,77,1,16,-0.0620390813
193,77,1,24,-0.0618302780
193,77,1,33,-0.0616680986
194,77,2,0,-0.0622472758
194,77,2,8,-0.0621016560
194,77,2,16,-0.0620450303
194,77,2,24,-0.0618396923
194,77,2,33,-0.0620256647
195,78,0,0,-0.0627083907
195,78,0,8,-0.0619048990
195,78,0,16,-0.0615267155
195,78,0,24,-0.0632293097
195,78,0,33,-0.0617399601
196,78,1,0,-0.0630596478
196,78,1,8,-0.0625366506
196,78,1,16,-0.0623798421
196,78,1,24,-0.0621388682
196,78,1,33,-0.0618481707
197,78,2,0,-0.0626484843
197,78,2,8,-0.0616811591
197,78,2,16,-0.0614135060
197,78,2,24,-0.0620755576
197,78,2,33,-0.0616102491
198,79,0,0,-0.0624861642
198,79,0,8,-0.0618482754
198,79,0,16,-0.0624201664
198,79,0,24,-0.0618482633
198,79,0,33,-0.0629454584
199,79,1,0,-0.0630596773
199,79,1,8,-0.0624299814
199,79,1,16,-0.0623086730
199,79,1,24,-0.0634381501
199,79,1,33,-0.0621897751
200,79,2,0,-0.0625419418
200,79,2,8,-0.0618555971
200,79,2,16,-0.0630596517
200,79,2,24,-0.0617332294
200,79,2,33,-0.0627235542
201,80,0,0,-0.0617614269
201,80,0,8,-0.0625523642
201,80,0,16,-0.0628115627
201,80,0,24,-0.0618482375
201,80,0,33,-0.0621388897
202,80,1,0,-0.0617614450
202,80,1,8,-0.0619908745
202,80,1,16,-0.0620358190
202,80,1,24,-0.0620514778
202,80,1,33,-0.0614134371
203,80,2,0,-0.0617614840
203,80,2,8,-0.0620391139
203,80,2,16,-0.0621388823
203,80,2,24,-0.0624201340
203,80,2,33,-0.0615270299
204,82,0,0,-0.0627704500
204,82,0,8,-0.0617614464
204,82,0,16,-0.0623354501
204,82,0,24,-0.0623094425
204,82,0,33,-0.0628115515
205,82,1,0,-0.0622087557
205,82,1,8,-0.0624201573
205,82,1,16,-0.0622369407
205,82,1,24,-0.0624008124
205,82,1,33,-0.0616202489
206,82,2,0,-0.0632293109
206,82,2,8,-0.0617614431
206,82,2,16,-0.0620882329
206,82,2,24,-0.0618482896
206,82,2,33,-0.0623750250
207,83,0,0,-0.0617614302
207,83,0,8,-0.0625419420
207,83,0,16,-0.0619122000
207,83,0,24,-0.0622494976
207,83,0,33,-0.0618225867
208,83,1,0,-0.0617614314
208,83,1,8,-0.0617508398
208,83,1,16,-0.0623087214
208,83,1,24,-0.0614778503
208,83,1,33,-0.0619046100
209,83,2,0,-0.0629326800
209,83,2,8,-0.0622402573
209,83,2,16,-0.0617614264
209,83,2,24,-0.0618864705
209,83,2,33,-0.0619045853
210,84,0,0,-0.0616345351
210,84,0,8,-0.0616811914
210,84,0,16,-0.0618225421
210,84,0,24,-0.0620627129
210,84,0,33,-0.0616851334
211,84,1,0,-0.0615553571
211,84,1,8,-0.0624201412
211,84,1,16,-0.0619121968
211,84,1,24,-0.0621473430
211,84,1,33,-0.0616851435
212,84,2,0,-0.0617614678
212,84,2,8,-0.0621171240
212,84,2,16,-0.0621053576
212,84,2,24,-0.0625419209
212,84,2,33,-0.0616850875
213,85,0,0,-0.0619046344
213,85,0,8,-0.0623271530
213,85,0,16,-0.0621053462
213,85,0,24,-0.0623094819
213,85,0,33,-0.0616850852
214,85,1,0,-0.0617617391
214,85,1,8,-0.0621388086
214,85,1,16,-0.0618225716
214,85,1,24,-0.0621386533
214,85,1,33,-0.0621054402
215,85,2,0,-0.0618226232
215,85,2,8,-0.0625401719
215,85,2,16,-0.0616783422
215,85,2,24,-0.0625419654
215,85,2,33,-0.0620970674
216,86,0,0,-0.0622495702
216,86,0,8,-0.0620544855
216,86,0,16,-0.0626856947
216,86,0,24,-0.0622496310
216,86,0,33,-0.0624201512
217,86,1,0,-0.0621388582
217,86,1,8,-0.0622007210
217,86,1,16,-0.0616906999
217,86,1,24,-0.0619755231
217,86,1,33,-0.0615935917
218,86,2,0,-0.0622577468
218,86,2,8,-0.0616811534
218,86,2,16,-0.0617686863
218,86,2,24,-0.0617329744
218,86,2,33,-0.0621417322
219,87,0,0,-0.0618482305
219,87,0,8,-0.0622472448
219,87,0,16,-0.0619122298
219,87,0,24,-0.0623163048
219,87,0,33,-0.0618557201
220,87,1,0,-0.0632293274
220,87,1,8,-0.0624748424
220,87,1,16,-0.0620350701
220,87,1,24,-0.0620768340
220,87,1,33,-0.0617685360
221,87,2,0,-0.0631052881
221,87,2,8,-0.0625419670
221,87,2,16,-0.0618386307
221,87,2,24,-0.0630070521
221,87,2,33,-0.0616851672
222,88,0,0,-0.0619046147
222,88,0,8,-0.0618226158
222,88,0,16,-0.0617686758
222,88,0,24,-0.0616203394
222,88,0,33,-0.0616851454
223,88,1,0,-0.0622472520
223,88,1,8,-0.0623561091
223,88,1,16,-0.0616851765
223,88,1,24,-0.0624201284
223,88,1,33,-0.0616851110
224,88,2,0,-0.0615551991
224,88,2,8,-0.0619122822
224,88,2,16,-0.0619122060
224,88,2,24,-0.0617614376
224,88,2,33,-0.0617399175
225,89,0,0,-0.0622458105
225,89,0,8,-0.0623187338
225,89,0,16,-0.0619121457
225,89,0,24,-0.0623094006
225,89,0,33,-0.0619122262
226,89,1,0,-0.0620724268
226,89,1,8,-0.0624206085
226,89,1,16,-0.0619046105
226,89,1,24,-0.0619799691
226,89,1,33,-0.0623799063
227,89,2,0,-0.0620468976
227,89,2,8,-0.0625418696
227,89,2,16,-0.0618482673
227,89,2,24,-0.0621388485
227,89,2,33,-0.0619046444
228,90,0,0,-0.0624299330
228,90,0,8,-0.0618936840
228,90,0,16,-0.0618485804
228,90,0,24,-0.0629603216
228,90,0,33,-0.0628392918
229,90,1,0,-0.0628393532
229,90,1,8,-0.0624201566
229,90,1,16,-0.0617614262
229,90,1,24,-0.0624299953
229,90,1,33,-0.0619212191
230,90,2,0,-0.0622369363
230,90,2,8,-0.0619211095
230,90,2,16,-0.0621999153
230,90,2,24,-0.0624201646
230,90,2,33,-0.0618482647
231,92,0,0,-0.0622071875
231,92,0,8,-0.0622577461
231,92,0,16,-0.0616852274
231,92,0,24,-0.0625419765
231,92,0,33,-0.0616850471
232,92,1,0,-0.0623093826
232,92,1,8,-0.0624201743
232,92,1,16,-0.0618225780
232,92,1,24,-0.0632294456
232,92,1,33,-0.0618226064
233,92,2,0,-0.0625419503
233,92,2,8,-0.0624647930
233,92,2,16,-0.0616850689
233,92,2,24,-0.0622406149
233,92,2,33,-0.0618226937
234,93,0,0,-0.0618482598
234,93,0,8,-0.0625418642
234,93,0,16,-0.0621999790
234,93,0,24,-0.0618416198
234,93,0,33,-0.0618556468
235,93,1,0,-0.0623093914
235,93,1,8,-0.0621626984
235,93,1,16,-0.0617614160
235,93,1,24,-0.0624303541
235,93,1,33,-0.0619122454
236,93,2,0,-0.0618482742
236,93,2,8,-0.0618482059
236,93,2,16,-0.0624299711
236,93,2,24,-0.0621791574
236,93,2,33,-0.0618226100
237,94,0,0,-0.0618482565
237,94,0,8,-0.0619046091
237,94,0,16,-0.0619122377
237,94,0,24,-0.0616811471
237,94,0,33,-0.0622086967
238,94,1,0,-0.0616202931
238,94,1,8,-0.0625419085
238,94,1,16,-0.0622763847
238,94,1,24,-0.0620545132
238,94,1,33,-0.0622673067
239,94,2,0,-0.0621516770
239,94,2,8,-0.0622577115
239,94,2,16,-0.0616348043
239,94,2,24,-0.0621388744
239,94,2,33,-0.0621999135
240,95,0,0,-0.0622814419
240,95,0,8,-0.0619542648
240,95,0,16,-0.0616345632
240,95,0,24,-0.0622405883
240,95,0,33,-0.0617684418
241,95,1,0,-0.0621387601
241,95,1,8,-0.0623452182
241,95,1,16,-0.0620257221
241,95,1,24,-0.0620721815
241,95,1,33,-0.0620256774
242,95,2,0,-0.0621388468
242,95,2,8,-0.0618903690
242,95,2,16,-0.0617684891
242,95,2,24,-0.0623094212
242,95,2,33,-0.0618386202
243,96,0,0,-0.0619046534
243,96,0,8,-0.0618226443
243,96,0,16,-0.0618229322
243,96,0,24,-0.0618556537
243,96,0,33,-0.0625523792
244,96,1,0,-0.0622739071
244,96,1,8,-0.0624520203
244,96,1,16,-0.0618226195
244,96,1,24,-0.0623094192
244,96,1,33,-0.0618226466
245,96,2,0,-0.0616511543
245,96,2,8,-0.0618226435
245,96,2,16,-0.0616076324
245,96,2,24,-0.0618156662
245,96,2,33,-0.0616076415
246,98,0,0,-0.0621602760
246,98,0,8,-0.0616811553
246,98,0,16,-0.0614837681
246,98,0,24,-0.0617617420
246,98,0,33,-0.0616345233
247,98,1,0,-0.0619985042
247,98,1,8,-0.0622979471
247,98,1,16,-0.0616850913
247,98,1,24,-0.0623187352
247,98,1,33,-0.0617684734
248,98,2,0,-0.0615614959
248,98,2,8,-0.0616811571
248,98,2,16,-0.0616575783
248,98,2,24,-0.0619035859
248,98,2,33,-0.0621517042
249,102,0,0,-0.0616279634
249,102,0,8,-0.0617687640
249,102,0,16,-0.0619046241
249,102,0,24,-0.0617684776
249,102,0,33,-0.0624570025
250,102,1,0,-0.0616811858
250,102,1,8,-0.0616811433
250,102,1,16,-0.0618556398
250,102,1,24,-0.0620153281
250,102,1,33,-0.0624648143
251,102,2,0,-0.0624201528
251,102,2,8,-0.0625419320
251,102,2,16,-0.0617614492
251,102,2,24,-0.0623094381
251,102,2,33,-0.0622000097
252,104,0,0,-0.0618483056
252,104,0,8,-0.0617617462
252,104,0,16,-0.0616575845
252,104,0,24,-0.0625523588
252,104,0,33,-0.0618226612
253,104,1,0,-0.0625419100
253,104,1,8,-0.0616783258
253,104,1,16,-0.0616851008
253,104,1,24,-0.0620467789
253,104,1,33,-0.0616102646
254,104,2,0,-0.0620548892
254,104,2,8,-0.0616508352
254,104,2,16,-0.0614134299
254,104,2,24,-0.0624569413
254,104,2,33,-0.0615267168
255,105,0,0,-0.0622495456
255,105,0,8,-0.0619122648
255,105,0,16,-0.0616509564
255,105,0,24,-0.0622372981
255,105,0,33,-0.0617399793
256,105,1,0,-0.0625419118
256,105,1,8,-0.0624201386
256,105,1,16,-0.0619121952
256,105,1,24,-0.0620770618
256,105,1,33,-0.0618226356
257,105,2,0,-0.0617614374
257,105,2,8,-0.0623179502
257,105,2,16,-0.0619121900
257,105,2,24,-0.0625419508
257,105,2,33,-0.0616575438
258,107,0,0,-0.0617614419
258,107,0,8,-0.0618154083
258,107,0,16,-0.0618482009
258,107,0,24,-0.0616811517
258,107,0,33,-0.0617684880
259,107,1,0,-0.0619615801
259,107,1,8,-0.0619211013
259,107,1,16,-0.0622087594
259,107,1,24,-0.0623071480
259,107,1,33,-0.0619046761
260,107,2,0,-0.0627084724
260,107,2,8,-0.0618153579
260,107,2,16,-0.0617685334
260,107,2,24,-0.0628393075
260,107,2,33,-0.0619046664
261,108,0,0,-0.0621644766
261,108,0,8,-0.0616011049
261,108,0,16,-0.0617614254
261,108,0,24,-0.0614799545
261,108,0,33,-0.0616882390
262,108,1,0,-0.0619046220
262,108,1,8,-0.0620350205
262,108,1,16,-0.0617768702
262,108,1,24,-0.0623086558
262,108,1,33,-0.0617398631
263,108,2,0,-0.0619122231
263,108,2,8,-0.0619046677
263,108,2,16,-0.0618313148
263,108,2,24,-0.0621473422
263,108,2,33,-0.0618482840
264,109,0,0,-0.0616076406
264,109,0,8,-0.0616511211
264,109,0,16,-0.0616575204
264,109,0,24,-0.0616851829
264,109,0,33,-0.0616075648
265,109,1,0,-0.0618156058
265,109,1,8,-0.0618225938
265,109,1,16,-0.0618225859
265,109,1,24,-0.0618556077
265,109,1,33,-0.0618225960
266,109,2,0,-0.0616508580
266,109,2,8,-0.0616575291
266,109,2,16,-0.0615266629
266,109,2,24,-0.0616575468
266,109,2,33,-0.0615243572
267,110,0,0,-0.0616279340
267,110,0,8,-0.0616814438
267,110,0,16,-0.0624519919
267,110,0,24,-0.0617614914
267,110,0,33,-0.0622667900
268,110,1,0,-0.0616279107
268,110,1,8,-0.0621417015
268,110,1,16,-0.0617684419
268,110,1,24,-0.0617614081
268,110,1,33,-0.0617614803
269,110,2,0,-0.0617614373
269,110,2,8,-0.0618559322
269,110,2,16,-0.0621417801
269,110,2,24,-0.0614801803
269,110,2,33,-0.0621516867
270,112,0,0,-0.0625419641
270,112,0,8,-0.0627197471
270,112,0,16,-0.0617687614
270,112,0,24,-0.0620548510
270,112,0,33,-0.0616345853
271,112,1,0,-0.0624299300
271,112,1,8,-0.0619789031
271,112,1,16,-0.0620973631
271,112,1,24,-0.0623516975
271,112,1,33,-0.0631052973
272,112,2,0,-0.0622094389
272,112,2,8,-0.0625107093
272,112,2,16,-0.0619049232
272,112,2,24,-0.0623093722
272,112,2,33,-0.0620430752
273,113,0,0,-0.0624202767
273,113,0,8,-0.0618482684
273,113,0,16,-0.0617329582
273,113,0,24,-0.0618556260
273,113,0,33,-0.0616279160
274,113,1,0,-0.0620387220
274,113,1,8,-0.0621389024
274,113,1,16,-0.0620545658
274,113,1,24,-0.0621387858
274,113,1,33,-0.0621705241
275,113,2,0,-0.0625291036
275,113,2,8,-0.0618485667
275,113,2,16,-0.0616811478
275,113,2,24,-0.0619046100
275,113,2,33,-0.0618697895
276,115,0,0,-0.0616011439
276,115,0,8,-0.0622000111
276,115,0,16,-0.0615329805
276,115,0,24,-0.0621516862
276,115,0,33,-0.0622368793
277,115,1,0,-0.0617614187
277,115,1,8,-0.0624754379
277,115,1,16,-0.0617398809
277,115,1,24,-0.0625419000
277,115,1,33,-0.0622192292
278,115,2,0,-0.0616508822
278,115,2,8,-0.0617288757
278,115,2,16,-0.0617614492
278,115,2,24,-0.0618556340
278,115,2,33,-0.0624201629
279,118,0,0,-0.0615615318
279,118,0,8,-0.0618556477
279,118,0,16,-0.0617685179
279,118,0,24,-0.0615053401
279,118,0,33,-0.0616345743
280,118,1,0,-0.0616077036
280,118,1,8,-0.0616280642
280,118,1,16,-0.0616102546
280,118,1,24,-0.0618482178
280,118,1,33,-0.0616102294
281,118,2,0,-0.0618226139
281,118,2,8,-0.0616575698
281,118,2,16,-0.0614134828
281,118,2,24,-0.0629454918
281,118,2,33,-0.0618153448
282,120,0,0,-0.0628393203
282,120,0,8,-0.0621388609
282,120,0,16,-0.0619123079
282,120,0,24,-0.0630597459
282,120,0,33,-0.0622764646
283,120,1,0,-0.0621791730
283,120,1,8,-0.0619874948
283,120,1,16,-0.0618225895
283,120,1,24,-0.0617616980
283,120,1,33,-0.0623086633
284,120,2,0,-0.0617684719
284,120,2,8,-0.0617686707
284,120,2,16,-0.0619122258
284,120,2,24,-0.0615329919
284,120,2,33,-0.0619045719
285,121,0,0,-0.0616345577
285,121,0,8,-0.0617616983
285,121,0,16,-0.0623894840
285,121,0,24,-0.0619121902
285,121,0,33,-0.0617208268
286,121,1,0,-0.0616851361
286,121,1,8,-0.0616279399
286,121,1,16,-0.0615553878
286,121,1,24,-0.0623271493
286,121,1,33,-0.0619211154
287,121,2,0,-0.0616202820
287,121,2,8,-0.0614839600
287,121,2,16,-0.0618226115
287,121,2,24,-0.0617329295
287,121,2,33,-0.0618608812
288,123,0,0,-0.0616306713
288,123,0,8,-0.0618864491
288,123,0,16,-0.0629454962
288,123,0,24,-0.0618977990
288,123,0,33,-0.0622006736
289,123,1,0,-0.0615553527
289,123,1,8,-0.0623516307
289,123,1,16,-0.0629014611
289,123,1,24,-0.0615616801
289,123,1,33,-0.0618396856
290,123,2,0,-0.0632293791
290,123,2,8,-0.0623512464
290,123,2,16,-0.0617614132
290,123,2,24,-0.0621388031
290,123,2,33,-0.0614728111
291,124,0,0,-0.0618153868
291,124,0,8,-0.0616680001
291,124,0,16,-0.0620970192
291,124,0,24,-0.0620515043
291,124,0,33,-0.0621516895
292,124,1,0,-0.0616854355
292,124,1,8,-0.0618087693
292,124,1,16,-0.0620256965
292,124,1,24,-0.0617616929
292,124,1,33,-0.0620350748
293,124,2,0,-0.0622673829
293,124,2,8,-0.0629603149
293,124,2,16,-0.0620256287
293,124,2,24,-0.0620350017
293,124,2,33,-0.0624777312
294,125,0,0,-0.0621388469
294,125,0,8,-0.0619046068
294,125,0,16,-0.0618226672
294,125,0,24,-0.0623094639
294,125,0,33,-0.0618225845
295,125,1,0,-0.0621388550
295,125,1,8,-0.0624647924
295,125,1,16,-0.0618226204
295,125,1,24,-0.0621388406
295,125,1,33,-0.0619122618
296,125,2,0,-0.0624570007
296,125,2,8,-0.0618397330
296,125,2,16,-0.0618226074
296,125,2,24,-0.0622094917
296,125,2,33,-0.0617613863
297,126,0,0,-0.0619046612
297,126,0,8,-0.0631191707
297,126,0,16,-0.0622764048
297,126,0,24,-0.0621171102
297,126,0,33,-0.0624202153
298,126,1,0,-0.0617288604
298,126,1,8,-0.0617614514
298,126,1,16,-0.0622673164
298,126,1,24,-0.0623474933
298,126,1,33,-0.0618555968
299,126,2,0,-0.0622086746
299,126,2,8,-0.0624895150
299,126,2,16,-0.0617684929
299,126,2,24,-0.0619046454
299,126,2,33,-0.0632293776
300,128,0,0,-0.0624570064
300,128,0,8,-0.0631053275
300,128,0,16,-0.0622764378
300,128,0,24,-0.0630070710
300,128,0,33,-0.0619122251
301,128,1,0,-0.0622009767
301,128,1,8,-0.0625523391
301,128,1,16,-0.0621680985
301,128,1,24,-0.0624201756
301,128,1,33,-0.0617614305
302,128,2,0,-0.0624648215
302,128,2,8,-0.0624648199
302,128,2,16,-0.0625418961
302,128,2,24,-0.0625419259
302,128,2,33,-0.0625418363
303,129,0,0,-0.0621388899
303,129,0,8,-0.0620766716
303,129,0,16,-0.0618225892
303,129,0,24,-0.0623474639
303,129,0,33,-0.0622673829
304,129,1,0,-0.0625419352
304,129,1,8,-0.0618482319
304,129,1,16,-0.0617614485
304,129,1,24,-0.0625422553
304,129,1,33,-0.0618153416
305,129,2,0,-0.0619047253
305,129,2,8,-0.0623798796
305,129,2,16,-0.0618226258
305,129,2,24,-0.0624647859
305,129,2,33,-0.0618226186
306,130,0,0,-0.0617685081
306,130,0,8,-0.0621388889
306,130,0,16,-0.0616577705
306,130,0,24,-0.0621387993
306,130,0,33,-0.0618153099
307,130,1,0,-0.0619046002
307,130,1,8,-0.0624201270
307,130,1,16,-0.0614778251
307,130,1,24,-0.0621387944
307,130,1,33,-0.0616851291
308,130,2,0,-0.0618153635
308,130,2,8,-0.0625419111
308,130,2,16,-0.0616575457
308,130,2,24,-0.0621389002
308,130,2,33,-0.0618226379
309,133,0,0,-0.0616751407
309,133,0,8,-0.0621474079
309,133,0,16,-0.0615306190
309,133,0,24,-0.0619045982
309,133,0,33,-0.0616575352
310,133,1,0,-0.0624304059
310,133,1,8,-0.0617687020
310,133,1,16,-0.0618226619
310,133,1,24,-0.0616348062
310,133,1,33,-0.0622764099
311,133,2,0,-0.0618153396
311,133,2,8,-0.0622667466
311,133,2,16,-0.0616575529
311,133,2,24,-0.0625420213
311,133,2,33,-0.0618154056
312,134,0,0,-0.0620438559
312,134,0,8,-0.0623186905
312,134,0,16,-0.0623798910
312,134,0,24,-0.0614997731
312,134,0,33,-0.0623798712
313,134,1,0,-0.0619789391
313,134,1,8,-0.0624652104
313,134,1,16,-0.0621999371
313,134,1,24,-0.0619787779
313,134,1,33,-0.0622000034
314,134,2,0,-0.0618743846
314,134,2,8,-0.0624748535
314,134,2,16,-0.0622764623
314,134,2,24,-0.0616683744
314,134,2,33,-0.0619122204
315,135,0,0,-0.0617614299
315,135,0,8,-0.0622577123
315,135,0,16,-0.0622369115
315,135,0,24,-0.0617684971
315,135,0,33,-0.0624755185
316,135,1,0,-0.0616811742
316,135,1,8,-0.0624138859
316,135,1,16,-0.0621005639
316,135,1,24,-0.0619036045
316,135,1,33,-0.0625213429
317,135,2,0,-0.0616783797
317,135,2,8,-0.0621737793
317,135,2,16,-0.0622369142
317,135,2,24,-0.0618397069
317,135,2,33,-0.0627858193
318,138,0,0,-0.0621387843
318,138,0,8,-0.0632293125
318,138,0,16,-0.0619122211
318,138,0,24,-0.0622007679
318,138,0,33,-0.0617399288
319,138,1,0,-0.0622007232
319,138,1,8,-0.0621388413
319,138,1,16,-0.0621999569
319,138,1,24,-0.0625419029
319,138,1,33,-0.0623799089
320,138,2,0,-0.0623093393
320,138,2,8,-0.0623094403
320,138,2,16,-0.0623086464
320,138,2,24,-0.0624205395
320,138,2,33,-0.0619122290
321,139,0,0,-0.0625106079
321,139,0,8,-0.0617399040
321,139,0,16,-0.0619122669
321,139,0,24,-0.0621171141
321,139,0,33,-0.0620513819
322,139,1,0,-0.0621388230
322,139,1,8,-0.0618861613
322,139,1,16,-0.0616851174
322,139,1,24,-0.0621391638
322,139,1,33,-0.0619121809
323,139,2,0,-0.0622344805
323,139,2,8,-0.0618397351
323,139,2,16,-0.0616344954
323,139,2,24,-0.0623094287
323,139,2,33,-0.0632719769
324,140,0,0,-0.0617687733
324,140,0,8,-0.0617616787
324,140,0,16,-0.0617398986
324,140,0,24,-0.0618482678
324,140,0,33,-0.0622406080
325,140,1,0,-0.0618608493
325,140,1,8,-0.0625419284
325,140,1,16,-0.0619122329
325,140,1,24,-0.0623474986
325,140,1,33,-0.0622192433
326,140,2,0,-0.0620335994
326,140,2,8,-0.0618556356
326,140,2,16,-0.0622979049
326,140,2,24,-0.0621388358
326,140,2,33,-0.0624404739
327,141,0,0,-0.0625419199
327,141,0,8,-0.0617329253
327,141,0,16,-0.0615246058
327,141,0,24,-0.0621388178
327,141,0,33,-0.0616079259
328,141,1,0,-0.0618482559
328,141,1,8,-0.0626817642
328,141,1,16,-0.0622090012
328,141,1,24,-0.0625419540
328,141,1,33,-0.0621999571
329,141,2,0,-0.0626987222
329,141,2,8,-0.0619046028
329,141,2,16,-0.0616578640
329,141,2,24,-0.0620450625
329,141,2,33,-0.0617398439
330,142,0,0,-0.0616814422
330,142,0,8,-0.0618154015
330,142,0,16,-0.0619122229
330,142,0,24,-0.0621387732
330,142,0,33,-0.0618556149
