# Theoretical bounds vs measurements (Figure TB)
# Generated by make_figure_TB.py
quantity,theoretical_bound_value,measured_value,ratio,interpretation
lyapunov_lambda1,-1.3289507811541539,-0.06191220722053567,1.2670385739336183,driven λ₁ above autonomous bound by ln|ρ(W)| margin
takens_m_star,6.156594758737501,4.0,-2.1565947587375014,d_box≈2.58; m* lower bound is 2·d_box+1
memory_capacity,256,0.7633420015095153,0.002981804693396544,Jaeger MC ≤ N; spiking uses <1% of analytic capacity
